"Rank","Title","Year","Genre","Rated","Runtime","Star_Rating","Director"
1,"Mean Girls",2004,"Comedy            ","PG-13","97 min","7","Mark Waters"
2,"The Ugly Truth",2009,"Comedy, Romance            ","R","96 min","6.5","Robert Luketic"
3,"What Happens in Vegas",2008,"Comedy, Romance            ","PG-13","99 min","6.1","Tom Vaughan"
4,"She's the Man",2006,"Comedy, Romance, Sport            ","PG-13","105 min","6.4","Andy Fickman"
5,"The Proposal",2009,"Comedy, Drama, Romance            ","PG-13","108 min","6.7","Anne Fletcher"
6,"John Tucker Must Die",2006,"Comedy, Romance            ","PG-13","89 min","5.8","Betty Thomas"
7,"A Walk to Remember",2002,"Drama, Romance            ","PG","101 min","7.4","Adam Shankman"
8,"Bad Teacher",2011,"Comedy, Romance            ","R","92 min","5.7","Jake Kasdan"
9,"Wild Child",2008,"Comedy, Drama, Romance            ","PG-13","124 min","6.1","Nick Moore"
10,"Sydney White",2007,"Comedy, Drama, Romance            ","PG-13","108 min","6.3","Joe Nussbaum"
11,"St. Trinian's",2007,"Comedy, Family            ","PG-13","97 min","5.8","Oliver Parker"
12,"Failure to Launch",2006,"Comedy, Romance            ","PG-13","97 min","5.6","Tom Dey"
13,"Leap Year",2010,"Comedy, Romance            ","PG","100 min","6.5","Anand Tucker"
14,"The House Bunny",2008,"Comedy, Romance            ","PG-13","97 min","5.5","Fred Wolf"
15,"Ghosts of Girlfriends Past",2009,"Comedy, Fantasy, Romance            ","PG-13","100 min","5.8","Mark Waters"
16,"When in Rome",2010,"Comedy, Romance            ","PG-13","91 min","5.6","Mark Steven Johnson"
17,"The Devil Wears Prada",2006,"Comedy, Drama            ","PG-13","109 min","6.9","David Frankel"
18,"10 Things I Hate About You",1999,"Comedy, Drama, Romance            ","PG-13","97 min","7.3","Gil Junger"
19,"Chasing Liberty",2004,"Comedy, Romance            ","PG-13","111 min","6.1","Andy Cadiff"
20,"Bride Wars",2009,"Comedy, Romance            ","PG","89 min","5.5","Gary Winick"
21,"What a Girl Wants",2003,"Comedy, Drama, Family            ","PG","105 min","5.9","Dennie Gordon"
22,"The Hot Chick",2002,"Comedy, Fantasy            ","PG-13","104 min","5.5","Tom Brady"
23,"How to Lose a Guy in 10 Days",2003,"Comedy, Romance            ","PG-13","116 min","6.4","Donald Petrie"
24,"27 Dresses",2008,"Comedy, Romance            ","PG-13","111 min","6.1","Anne Fletcher"
25,"Fool's Gold",2008,"Action, Adventure, Comedy            ","PG-13","112 min","5.7","Andy Tennant"
26,"Love & Other Drugs",2010,"Comedy, Drama, Romance            ","R","112 min","6.7","Edward Zwick"
27,"Miss Congeniality",2000,"Action, Comedy, Crime            ","PG-13","109 min","6.2","Donald Petrie"
28,"Life as We Know It",2010,"Comedy, Drama, Romance            ","PG-13","114 min","6.6","Greg Berlanti"
29,"Just Go with It",2011,"Comedy, Romance            ","PG-13","117 min","6.4","Dennis Dugan"
30,"Easy A",2010,"Comedy, Drama, Romance            ","PG-13","92 min","7.1","Will Gluck"
31,"Win a Date with Tad Hamilton!",2004,"Comedy, Romance            ","PG-13","95 min","5.6","Robert Luketic"
32,"You Again",2010,"Comedy, Family, Romance            ","PG","105 min","5.8","Andy Fickman"
33,"The To Do List",2013,"Comedy, Romance            ","R","104 min","5.8","Maggie Carey"
34,"The First Time",2012,"Comedy, Drama, Romance            ","PG-13","95 min","6.9","Jonathan Kasdan"
35,"It's a Boy Girl Thing",2006,"Comedy, Fantasy, Romance            ","PG-13","95 min","6.3","Nick Hurran"
36,"13 Going on 30",2004,"Comedy, Fantasy, Romance            ","PG-13","98 min","6.2","Gary Winick"
37,"Aquamarine",2006,"Comedy, Family, Fantasy            ","PG","104 min","5.4","Elizabeth Allen Rosenbaum"
38,"Lovewrecked",2005,"Adventure, Comedy, Romance            ","PG-13","87 min","4.9","Randal Kleiser"
39,"17 Again",2009,"Comedy, Drama, Fantasy            ","PG-13","102 min","6.4","Burr Steers"
40,"What's Your Number?",2011,"Comedy, Romance            ","R","106 min","6.1","Mark Mylod"
41,"Another Cinderella Story",2008,"Comedy, Family, Music            ","PG","90 min","5.9","Damon Santostefano"
42,"The Clique",2008,"Comedy, Drama, Family            ","PG","87 min","5.3","Michael Lembeck"
43,"Confessions of a Shopaholic",2009,"Comedy, Family, Romance            ","PG","104 min","5.9","P.J. Hogan"
44,"Miss Congeniality 2: Armed & Fabulous",2005,"Action, Comedy, Crime            ","PG-13","115 min","5.1","John Pasquin"
45,"Bratz",2007,"Comedy, Family, Music            ","PG","110 min","3","Sean McNamara"
46,"Fired Up!",2009,"Comedy, Sport            ","PG-13","90 min","6.2","Will Gluck"
47,"Bring It On: All or Nothing",2006,"Comedy, Sport            ","PG-13","99 min","5.7","Steve Rash"
48,"Bring It On: In It to Win It",2007,"Comedy, Sport            ","PG-13","90 min","5.4","Steve Rash"
49,"Bring It On: Fight to the Finish",2009,"Comedy, Sport            ","PG-13","102 min","5.4","Bille Woodruff"
50,"Pitch Perfect",2012,"Comedy, Music, Romance            ","PG-13","112 min","7.2","Jason Moore"
51,"Killers",2010,"Action, Comedy, Romance            ","PG-13","100 min","5.4","Robert Luketic"
52,"Because I Said So",2007,"Comedy, Romance            ","PG-13","102 min","5.6","Michael Lehmann"
53,"Legally Blonde 2: Red, White & Blonde",2003,"Comedy            ","PG-13","95 min","4.7","Charles Herman-Wurmfeld"
54,"Legally Blonde",2001,"Comedy, Romance            ","PG-13","96 min","6.3","Robert Luketic"
55,"This Means War",2012,"Action, Comedy, Romance            ","PG-13","103 min","6.3","McG"
56,"Beauty Shop",2005,"Comedy            ","PG-13","105 min","5.5","Bille Woodruff"
57,"St Trinian's 2: The Legend of Fritton's Gold",2009,"Adventure, Comedy            ","Not Rated","106 min","5.4","Oliver Parker"
58,"The Jerk Theory",2009,"Comedy, Music, Romance            ","PG-13","93 min","5.6","Scott S. Anderson"
59,"Nancy Drew",2007,"Comedy, Crime, Family            ","PG","99 min","5.9","Andrew Fleming"
60,"Freaky Friday",2003,"Comedy, Family, Fantasy            ","PG","97 min","6.2","Mark Waters"
61,"Dirty Deeds",2005,"Comedy            ","PG-13","87 min","5.8","David Kendall"
62,"The Princess Diaries 2: Royal Engagement",2004,"Comedy, Family, Romance            ","G","113 min","5.8","Garry Marshall"
63,"Ella Enchanted",2004,"Comedy, Family, Fantasy            ","PG","96 min","6.3","Tommy O'Haver"
64,"The Princess Diaries",2001,"Comedy, Family, Romance            ","G","111 min","6.3","Garry Marshall"
65,"Material Girls",2006,"Comedy, Family, Romance            ","PG","98 min","3.9","Martha Coolidge"
66,"The Lizzie McGuire Movie",2003,"Adventure, Comedy, Family            ","PG","94 min","5.5","Jim Fall"
67,"New York Minute",2004,"Comedy, Crime, Family            ","PG","91 min","4.9","Dennie Gordon"
68,"The Challenge",2003,"Adventure, Comedy, Family            ","G","92 min","5.4","Craig Shapiro"
69,"The Last Song",2010,"Drama, Music, Romance            ","PG","107 min","5.9","Julie Anne Robinson"
70,"Bachelorette",2012,"Comedy, Romance            ","R","87 min","5.3","Leslye Headland"
71,"Going the Distance",2010,"Comedy, Romance            ","R","102 min","6.3","Nanette Burstein"
72,"Sorority Wars",2009,"Comedy, Drama            ","Not Rated","95 min","5.9","James Hayman"
73,"ExTerminators",2009,"Comedy, Drama            ","Not Rated","92 min","5.3","John Inwood"
74,"Chalet Girl",2011,"Comedy, Romance, Sport            ","R","97 min","6.3","Phil Traill"
75,"Endless Love",2014,"Drama, Romance            ","PG-13","104 min","6.3","Shana Feste"
76,"Think Like a Man",2012,"Comedy, Romance            ","PG-13","122 min","6.6","Tim Story"
77,"Enchanted",2007,"Animation, Comedy, Family            ","PG","107 min","7.1","Kevin Lima"
78,"The Art of Getting By",2011,"Drama, Romance            ","PG-13","83 min","6.6","Gavin Wiesen"
79,"For a Good Time, Call...",2012,"Comedy            ","R","85 min","6","Jamie Travis"
80,"Something Borrowed",2011,"Comedy, Drama, Romance            ","PG-13","112 min","5.9","Luke Greenfield"
81,"Crazy, Stupid, Love.",2011,"Comedy, Drama, Romance            ","PG-13","118 min","7.4","Glenn Ficarra"
82,"Footloose",2011,"Comedy, Drama, Music            ","PG-13","113 min","5.9","Craig Brewer"
83,"Stick It",2006,"Comedy, Drama, Sport            ","PG-13","103 min","6.4","Jessica Bendinger"
84,"Guess Who",2005,"Comedy, Romance            ","PG-13","105 min","5.9","Kevin Rodney Sullivan"
85,"Honey 2",2011,"Comedy, Drama, Music            ","PG-13","110 min","5.4","Bille Woodruff"
86,"She's Out of My League",2010,"Comedy, Romance            ","R","104 min","6.4","Jim Field Smith"
87,"Bring It On",2000,"Comedy, Romance, Sport            ","PG-13","98 min","6","Peyton Reed"
88,"Heartbreakers",2001,"Comedy, Crime, Romance            ","PG-13","123 min","6.2","David Mirkin"
89,"What to Expect When You're Expecting",2012,"Comedy, Drama, Romance            ","PG-13","110 min","5.7","Kirk Jones"
90,"Christmas Cupid",2010,"Comedy, Family, Fantasy            ","PG-13","85 min","5.7","Gil Junger"
91,"Serious Moonlight",2009,"Comedy, Crime, Romance            ","R","81 min","5.4","Cheryl Hines"
92,"Bring It On: Again",2004,"Comedy, Sport            ","PG-13","90 min","4.5","Damon Santostefano"
93,"Teen Spirit",2011,"Comedy, Drama, Fantasy            ","TV-PG","82 min","5.6","Gil Junger"
94,"Monster-in-Law",2005,"Comedy, Romance            ","PG-13","101 min","5.5","Robert Luketic"
95,"Prom",2011,"Comedy, Drama, Family            ","PG","104 min","5.4","Joe Nussbaum"
96,"No Strings Attached",2011,"Comedy, Romance            ","R","108 min","6.2","Ivan Reitman"
